,observed,mean.simulated,lowCI,uppCI,sign
K10467,2.322580645,7.732658377,4.8,10.28571429,SPECIALIST
K10469,8.1,12.80140169,8.756756757,16.61538462,SPECIALIST
K10470,7.811697575,17.19447862,12.51373642,21.3499703,SPECIALIST
K10473,3.461077844,12.64497055,8.626865672,16.51428571,SPECIALIST
K10526,14.8468698,19.91058564,15.2010803,23.91566833,SPECIALIST
K10529,4.591836735,8.843869404,5.487804878,11.84210526,SPECIALIST
K10538,2.909090909,6.094541991,4,8,SPECIALIST
K10540,4.947532792,16.03302592,11.36360603,20.05316456,SPECIALIST
K10542,11.15863378,18.37940006,13.69497404,22.55407824,SPECIALIST
K10546,15.95785174,21.74974468,17.02424445,25.49125318,SPECIALIST
K10549,9.529945366,18.86198521,13.77578772,23.48264534,SPECIALIST
K10550,2.229707092,18.67026083,13.97814593,22.82524539,SPECIALIST
K10551,8.043551089,16.30430109,11.16744186,20.34745763,SPECIALIST
K10555,12.86707273,19.35892433,14.57767598,23.5116608,SPECIALIST
K10557,8.823529412,19.28467633,14.53482505,23.3687351,SPECIALIST
K10569,2.130434783,8.597852862,5.157894737,12.25,SPECIALIST
K10594,4.342857143,15.45272269,10.89708895,19.6462585,SPECIALIST
K10595,6.569086513,18.98898433,13.81348289,23.48197137,SPECIALIST
K10599,9.213876194,18.41234714,13.1489459,22.73132841,SPECIALIST
K10609,1.423529412,7.418178521,4.84,9.307692308,SPECIALIST
K10610,7.625124334,18.57256426,13.3468935,23.01393581,SPECIALIST
K10620,9.731756855,18.11768888,13.29600494,22.68549205,SPECIALIST
K10623,2.220183486,10.60127127,6.914285714,14.23529412,SPECIALIST
K10626,3.95890411,12.50347264,8.757575758,16.51428571,SPECIALIST
K10645,6.172541092,18.28403797,13.32644515,22.63315376,SPECIALIST
K10673,13.1986279,17.89670099,13.4253865,22.04151841,SPECIALIST
K10679,11.47658532,18.61962556,13.61894279,22.89062206,SPECIALIST
K10681,17.45908437,22.03147513,17.53863765,25.68340574,SPECIALIST
K10682,11.7533279,18.97882555,14.50186384,23.18557872,SPECIALIST
K10686,4.452303046,16.9965963,12.55296298,21.3390464,SPECIALIST
K10694,4.849301594,18.42342157,13.30472905,22.63530759,SPECIALIST
K10701,12.40659713,20.57071759,15.31238867,24.85657759,SPECIALIST
K10702,1.662999389,17.52447612,12.64374217,21.95898718,SPECIALIST
K10708,7.236074565,20.16059518,15.70122738,24.36172968,SPECIALIST
K10709,12.72275394,17.69499496,12.85395579,22.00336938,SPECIALIST
K10711,7.102272727,14.01652664,9.613549618,18.38235294,SPECIALIST
K10718,4.155737705,15.46940036,11.18279937,19.50314516,SPECIALIST
K10725,7.010363542,19.06269606,14.16533106,23.42996734,SPECIALIST
K10726,12.93063584,20.69872638,16.18801787,24.79888941,SPECIALIST
K10730,3.126066973,15.18938115,10.94357532,19.12048193,SPECIALIST
K10742,14.41744754,20.25715718,15.43766175,24.53854226,SPECIALIST
K10752,2,4.891784615,3,6,SPECIALIST
K10755,2.282387191,14.37143628,10.11612903,18.23255814,SPECIALIST
K10756,2.37037037,9.250772232,5.565217391,12.8,SPECIALIST
K10763,9.521466189,21.02131986,16.35436581,25.01475518,SPECIALIST
K10768,4.544055944,14.43236069,10.05882353,18.56571429,SPECIALIST
K10770,12.26856226,18.75729922,13.91578202,22.93119582,SPECIALIST
K10772,1.066592675,12.21746065,8.075630252,16.28813559,SPECIALIST
K10776,12.54409769,17.82922485,13.40770195,22.129939,SPECIALIST
K10777,2.072874494,12.33082041,8.258064516,16,SPECIALIST
K10797,9.065536414,18.93951369,14.3001129,23.21873875,SPECIALIST
K10798,14.52103312,19.50378802,14.54174251,23.95244075,SPECIALIST
K10799,13.84316008,19.76702534,14.98798473,23.88643955,SPECIALIST
K10800,15.83741043,21.19884001,16.64809681,25.25794962,SPECIALIST
K10810,5.140168722,15.96058407,11.72969044,20.15521628,SPECIALIST
